,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,updated_github_id,trending,gitee_id,gitee_url,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,docs_url,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,new_addition
76,CTFd-owl,https://github.com/BIT-NSC/CTFd-owl,BIT-NSC/CTFd-owl,misc,"['python', 'web']",https://github.com/BIT-NSC/CTFd-owl,Apache-2.0,2022-03-26 06:58:14.000,2022-03-26 14:08:47,2022-03-26 14:08:34,2.0,,3.0,,,1.0,2.0,21.0,,,,,,Dynamic Check Challenges with docker-compose for CTFd V3.4.0+.,1.0,4,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Rust-toys ➡️ bitlogin,https://github.com/Aloxaf/Rust-toys,Aloxaf/Rust-toys,srun,['rust'],https://github.com/Aloxaf/Rust-toys,,2018-09-19 13:27:15.000,2019-03-30 05:28:41,2019-03-30 05:28:33,34.0,,3.0,1.0,,,,20.0,,,,,,10_0_0_55_login 的 rust 实现.,,4,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,BIT101-GO,https://bit101.cn,BIT101-dev/BIT101-GO,agg,['go'],https://github.com/BIT101-dev/BIT101-GO,AGPL-3.0,2023-03-15 10:17:00.000,2025-10-05 14:32:52,2025-10-05 14:23:50,120.0,,5.0,1.0,11.0,1.0,2.0,19.0,,,,,,针对北京理工大学搞的怪东西后面的东西.,5.0,4,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Ri-Nai/BIT-Typst-Template,https://github.com/Ri-Nai/BIT-Typst-Template,Ri-Nai/BIT-Typst-Template,template,,https://github.com/Ri-Nai/BIT-Typst-Template,MIT,2025-01-30 12:21:21.000,2025-11-18 14:32:21,2025-11-18 14:32:11,61.0,,2.0,1.0,10.0,1.0,2.0,19.0,2025-02-02 08:17:50.000,assets,136.0,11.0,1.0,北京理工大学非官方 本科生毕业论文 Typst 模板.,3.0,4,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,北京理工大学计算机学院视觉形象系统,https://github.com/BITCS1958/BITCS-Visual-image-recognition-system,BITCS1958/BITCS-Visual-image-recognition-system,org,,https://github.com/BITCS1958/BITCS-Visual-image-recognition-system,,2019-06-02 12:58:52.000,2019-06-03 14:54:45,2019-06-03 14:53:36,3.0,,8.0,,,,,18.0,,,,,,北京理工大学计算机学院视觉形象系统.,,4,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,BITCS-final-exam-learning-materials,https://github.com/Sharpiless/BITCS-final-exam-learning-materials,Sharpiless/BITCS-final-exam-learning-materials,learning,,https://github.com/Sharpiless/BITCS-final-exam-learning-materials,GPL-3.0,2021-05-25 02:39:58.000,2021-05-26 04:04:03,,,,2.0,,,,,17.0,,,,,,北理工计算机CS期末考试复习资料/历年考题汇总，欢迎PR.,1.0,4,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,CreateSDelightFabricJava,https://github.com/Phoupraw/CreateSDelightFabricJava,Phoupraw/CreateSDelightFabricJava,apollo,,https://github.com/Phoupraw/CreateSDelightFabricJava,,2023-01-29 18:48:59.000,2023-10-08 10:32:06,2023-05-07 18:40:15,146.0,,8.0,2.0,7.0,6.0,12.0,17.0,,,,,,"A Minecraft mod, for custom cake.",5.0,4,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,贝塔驿站 - 微信小程序,https://mp.weixin.qq.com/s/g1bzBHUI6CbSlYjWN1BnOw,x-zip/beita-frontend,agg,,https://github.com/X-zip/Beita-frontend,,2025-07-12 13:18:36.000,2026-01-02 11:36:07,2026-01-02 11:36:07,12.0,9.0,6.0,,5.0,1.0,,17.0,,,,,,,3.0,4,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,理治棋壮,https://github.com/sswv/bitstronger,sswv/bitstronger,apollo,['cpp'],https://github.com/sswv/bitstronger,GPL-2.0,2015-06-06 00:42:19.000,2015-06-06 01:28:31,2015-06-06 01:28:27,3.0,,11.0,2.0,,,,15.0,,,,,,一个基于中国象棋通用引擎协议（UCCI）的中国象棋计算机博弈引擎。.,,4,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,BIT-enhanced ➡️ BIT-Programming-Detect,https://ydx-2147483647.github.io/BIT-enhanced/,YDX-2147483647/BIT-enhanced,academic,,https://github.com/YDX-2147483647/BIT-enhanced,GPL-3.0,2021-01-19 12:34:37.000,2024-10-10 06:46:33,2026-01-06 01:11:37,244.0,1.0,1.0,1.0,37.0,3.0,8.0,14.0,,,,,,通过提交C语言程序，逐字符确定测试用例。为符合编程人员的习惯，字符默认从第0个开始。文本框中输入Enter键可以直接开始探测。在结束文本框输入非数字时，会持续探测。探测到所有的测试用例都OF时探测会结束。支持的测试用例字符：ASCII..,5.0,4,True,2.0,,,,,,,,,,,,,,,,,,,,,,488587.0,https://greasyfork.org/scripts/488587,https://update.greasyfork.org/scripts/488587/BIT-Programming-Detect.user.js,43.0,5.0,
86,BIT-enhanced ➡️ BIT-乐学-修改侧边栏课程-GUI,https://ydx-2147483647.github.io/BIT-enhanced/,YDX-2147483647/BIT-enhanced,academic,,https://github.com/YDX-2147483647/BIT-enhanced,GPL-3.0,2021-01-19 12:34:37.000,2024-10-10 06:46:33,2026-01-06 01:11:37,244.0,1.0,1.0,1.0,37.0,3.0,8.0,14.0,,,,,,修改侧边栏显示的课程.,5.0,4,True,2.0,,,,,,,,,,,,,,,,,,,,,,488788.0,https://greasyfork.org/scripts/488788,https://update.greasyfork.org/scripts/488788/BIT-%E4%B9%90%E5%AD%A6-%E4%BF%AE%E6%94%B9%E4%BE%A7%E8%BE%B9%E6%A0%8F%E8%AF%BE%E7%A8%8B-GUI.user.js,13.0,5.0,
87,BIT-enhanced ➡️ BIT-物理实验中心-下载日历,https://ydx-2147483647.github.io/BIT-enhanced/,YDX-2147483647/BIT-enhanced,academic,,https://github.com/YDX-2147483647/BIT-enhanced,GPL-3.0,2021-01-19 12:34:37.000,2024-04-03 10:14:39,2026-01-06 01:11:37,244.0,1.0,1.0,1.0,37.0,3.0,8.0,14.0,,,,,,生成课程表的 iCalendar 文件并下载.,5.0,4,True,2.0,,,,,,,,,,,,,,,,,,,,,,491539.0,https://greasyfork.org/scripts/491539,https://update.greasyfork.org/scripts/491539/BIT-%E7%89%A9%E7%90%86%E5%AE%9E%E9%AA%8C%E4%B8%AD%E5%BF%83-%E4%B8%8B%E8%BD%BD%E6%97%A5%E5%8E%86.user.js,4.0,5.0,
88,vouv/SrunBar,https://github.com/vouv/SrunBar,vouv/SrunBar,srun,,https://github.com/vouv/SrunBar,MIT,2020-12-28 18:09:54.000,2021-01-04 02:42:57,2021-01-04 02:42:37,3.0,,1.0,1.0,,,1.0,10.0,2021-01-04 02:43:48.000,0.3.0,36.0,0.0,3.0,北理工校园网客户端 for macOS.,,4,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
