,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,updated_github_id,trending,gitee_id,gitee_url,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,docs_url,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,new_addition
110,BIT_Matrix_Analysis_Course,https://github.com/NeoSunJZ/BIT_Matrix_Analysis_Course,NeoSunJZ/BIT_Matrix_Analysis_Course,learning,,https://github.com/NeoSunJZ/BIT_Matrix_Analysis_Course,MIT,2023-02-14 09:25:40.000,2023-02-14 09:28:21,2023-02-14 09:28:21,2.0,,,2.0,,,,43.0,,,,,,北京理工大学矩阵分析试题观察和往年试题，有帮助欢迎给Star，欢迎更多校友贡献资源.,1.0,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,wyt8/bit-cs,https://github.com/wyt8/bit-cs,wyt8/bit-cs,learning,,https://github.com/wyt8/bit-cs,,2024-07-27 03:55:55.000,2025-06-07 12:30:30,2025-06-07 12:29:50,13.0,,,1.0,,,,43.0,,,,,,北京理工大学（北理工）计算机学院部分课程资料，主要为大作业、项目等。.,1.0,3,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,北京理工大学-本科-人工智能专业-通关手册,https://github.com/Z-Luan/BIT-AI,Z-Luan/BIT-AI,learning,,https://github.com/Z-Luan/BIT-AI,,2023-10-20 14:53:12.000,2023-11-01 14:05:50,2023-11-01 14:05:50,52.0,,,1.0,,,1.0,36.0,,,,,,本人在该项目中分享了北京理工大学2020级人工智能专业相关课程的实验作业资料，欢迎star🌟。.,1.0,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,BITCS-2019,https://github.com/bingo123122121/BITCS-2019,bingo123122121/BITCS-2019,learning,,https://github.com/bingo123122121/BITCS-2019,,2022-08-08 13:12:42.000,2022-12-03 06:05:52,2022-12-03 06:05:41,7.0,,1.0,1.0,,1.0,,35.0,,,,,,本项目是个人整理的北理工计科2019级的学习资料，佛系整理，欢迎分享.,3.0,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,BIT分享进步小组,https://www.zzzzquan.cn/2025/08/25/share-and-improve-in-BIT/,zzzzquan/share-and-improve-in-BIT,org,,https://github.com/zzzzquan/share-and-improve-in-BIT,,2025-09-20 14:05:51.000,2025-12-09 04:18:29,2025-12-09 04:18:22,23.0,2.0,2.0,,2.0,,,23.0,,,,,,BIT分享进步群的GitHub资料库.,2.0,3,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,贝塔驿站后端系统,https://mp.weixin.qq.com/s/g1bzBHUI6CbSlYjWN1BnOw,x-zip/beita-backend,agg,,https://github.com/X-zip/Beita-backend,,2025-07-12 13:19:43.000,2025-09-17 10:48:07,2025-08-30 10:31:21,36.0,,5.0,1.0,8.0,2.0,,19.0,,,,,,,6.0,3,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Beamer Template for Beijing Institute of Technology,https://www.overleaf.com/latex/templates/beamer-template-for-beijing-institute-of-technology/kvcxtftsbrrh,CharlieLeee/My_Beamer_Template,template,,https://github.com/CharlieLeee/My_Beamer_Template,,2020-09-17 07:52:41.000,2022-04-19 05:51:43,2022-04-19 05:51:27,7.0,,5.0,1.0,,,,17.0,,,,,,My Beamer Templates.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,BIT_Second_Round_Exam,https://github.com/Sologala/BIT_Second_Round_Exam,Sologala/BIT_Second_Round_Exam,learning,,https://github.com/Sologala/BIT_Second_Round_Exam,,2019-02-20 08:57:00.000,2019-03-22 09:09:22,2019-03-22 09:09:14,25.0,,1.0,1.0,,,,16.0,,,,,,北京理工大学复试历年上机代码.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,BIT_Automatic_praise_program,https://github.com/sycapple/BIT_Automatic_praise_program,sycapple/BIT_Automatic_praise_program,academic,,https://github.com/sycapple/BIT_Automatic_praise_program,,2024-01-03 11:25:15.000,2024-12-30 11:36:12,2024-12-30 11:33:24,19.0,,1.0,1.0,,1.0,1.0,14.0,2024-12-30 11:36:12.000,0.2.1,392.0,15.0,8.0,“北理工全自动好评系统”，可全部好评或选择想要差评的老师。.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,BITLOGIN,https://github.com/Touko2000/BITLOGIN,Touko2000/BITLOGIN,srun,['python'],https://github.com/Touko2000/BITLOGIN,,2021-05-11 13:42:53.000,2022-05-16 13:06:10,2022-05-16 13:06:10,6.0,,4.0,1.0,,,,11.0,,,,,,北理工服务器校园网登录.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,数字信号处理,https://gitee.com/spaitlab_0/Digital-Signal-Processing,,learning,['python'],,GPL-3.0,2021-12-23 23:17:25.000,2025-11-20 11:09:16,,,,6.0,2.0,,,,10.0,,,,,,北京理工大学《数字信号处理》课程教学资料，采用Matlab和Python实现仿真。.,,3,True,3.0,,,,,,,,,spaitlab_0/DSP-Book,https://gitee.com/spaitlab_0/Digital-Signal-Processing,,,,,,,,,,,,,,,,,
121,Python语言程序设计 学习笔记,https://github.com/crazykuma/LearnPythonBIT,crazykuma/LearnPythonBIT,learning,,https://github.com/crazykuma/LearnPythonBIT,,2019-07-22 11:01:48.000,2019-08-03 06:41:08,2019-08-03 06:40:24,18.0,,,,,,,10.0,,,,,,Python语言程序设计_北京理工大学.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,CTF暑期培训,https://gitee.com/Chorolop/bitnsc2021-summer,,exp,,,GPL-3.0,2021-10-04 15:35:00.000,2022-09-25 14:17:37,,,,3.0,1.0,,,,9.0,,,,,,北京理工大学 信息安全实验室 / 网络安全俱乐部 2021 年 暑期培训 课件.,,3,False,3.0,,,,,,,,,Chorolop/bitnsc2021-summer,https://gitee.com/Chorolop/bitnsc2021-summer,,,,,,,,,,,,,,,,,
123,bit-genshin,https://userstyles.world/style/11791/default-slug,xinyi-cherry/bit-genshin,edu-cn,,https://github.com/xinyi-cherry/bit-genshin,GPL-3.0,2023-08-29 15:42:11.000,2023-08-30 15:22:06,2023-08-30 15:22:06,13.0,,,1.0,,,4.0,9.0,,,,,,原神！启动！ 将你的BIT登录页面修改为原神样式！.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,LenovoPlayPause,https://github.com/FrzMtrsprt/LenovoPlayPause,FrzMtrsprt/LenovoPlayPause,apollo,,https://github.com/FrzMtrsprt/LenovoPlayPause,,2022-08-12 03:08:29.000,2024-10-09 00:11:38,2024-10-09 00:11:38,9.0,,1.0,2.0,,,,9.0,2022-08-12 03:22:10.000,1.0.0,133.0,3.0,1.0,Map the user-defined key to Play / Pause key on Lenovo laptops.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Remaining-reminders-of-the-art-course,https://github.com/sycapple/Remaining-reminders-of-the-art-course,sycapple/Remaining-reminders-of-the-art-course,academic,,https://github.com/sycapple/Remaining-reminders-of-the-art-course,,2024-02-28 01:58:34.000,2024-05-20 06:26:42,2024-05-20 06:26:36,35.0,,,1.0,,,,9.0,,,,,,本项目是基于selenium4的一个爬虫项目，旨在帮助没能抽中艺术课等自己心仪课程的同学一个再次选择的机会。.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,donglinkang2021/os_review,https://github.com/donglinkang2021/os_review,donglinkang2021/os_review,learning,,https://github.com/donglinkang2021/os_review,,2023-11-29 06:55:16.000,2023-12-08 07:06:08,2023-12-08 07:05:27,25.0,,1.0,1.0,,,,8.0,2023-12-06 14:35:57.000,1.0,,,1.0,北京理工大学操作系统期末考试复习笔记.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,BITSTAR,https://github.com/WangTe/BITSTAR,WangTe/BITSTAR,agg,,https://github.com/WangTe/BITSTAR,,2013-11-25 13:02:40.000,2013-11-26 09:29:19,2013-11-26 07:04:15,10.0,,,,,,,7.0,,,,,,北理校园网址导航.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Beijing-Institute-of-Technology-University-Physics,https://github.com/EnjunDu/Beijing-Institute-of-Technology-University-Physics-I,EnjunDu/Beijing-Institute-of-Technology-University-Physics-I,learning,,https://github.com/EnjunDu/Beijing-Institute-of-Technology-University-Physics-I,,2024-06-15 08:07:18.249,2024-06-06 09:03:07,,,,,,,,,7.0,,,,,,北理大学物理上.,1.0,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,BIT-Thesis-Bachelor,https://www.overleaf.com/latex/templates/bei-jing-li-gong-da-xue-zi-dong-hua-xue-yuan-kai-ti-bao-gao-mo-ban/cxkjykzkgstb,wanicca/BIT-Thesis-Bachelor,template,['latex'],https://github.com/wanicca/BIT-Thesis-Bachelor,,2019-04-21 16:55:31.000,2019-05-10 10:52:47,2019-05-10 10:52:09,8.0,,,,,,,6.0,,,,,,LaTex thesis template for BIT students.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,detect-BITOJ,https://github.com/YDX-2147483647/detect-BITOJ,YDX-2147483647/detect-BITOJ,academic,['python'],https://github.com/YDX-2147483647/detect-BITOJ,,2020-12-02 11:48:22.000,2023-07-10 14:22:07,2023-07-10 14:22:07,32.0,,1.0,2.0,,,,6.0,,,,,,探测BIT乐学OJ的保密测试用例（合法方法）.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Treehole,https://treehole.club,Treehole-Project/Treehole,agg,,https://github.com/Treehole-Project/Treehole,MIT,2025-06-28 08:19:05.000,2025-08-04 02:17:33,2025-07-06 09:57:01,10.0,,1.0,,,,1.0,6.0,2025-08-04 02:17:33.000,2025/8/4数据备份.zip,3.0,0.0,1.0,"完全开源的匿名化交流平台,由某不知名BIT学生创建.",,3,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,BIT_TechRep_CN,https://github.com/yuzhangbit/BIT_TechRep_CN,yuzhangbit/BIT_TechRep_CN,template,['latex'],https://github.com/yuzhangbit/BIT_TechRep_CN,,2016-03-19 20:47:20.000,2016-09-29 04:55:30,2016-09-29 04:55:30,21.0,,3.0,1.0,1.0,,,4.0,,,,,,A technique report latex template for BIT.,2.0,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Aya Login,http://frantic1048.com/aya-login/,frantic1048/aya-login,srun,['web'],https://github.com/frantic1048/aya-login,MIT,2015-03-21 08:07:14.000,2015-10-21 00:24:53,2015-10-21 00:23:02,25.0,,,2.0,,2.0,1.0,3.0,,,,,,这是一个用于浏览器的 UserScript，提升 bit srun 3000 校园网登录体验。.,2.0,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,BITLogin-Node,https://github.com/BIT-BOBH/BITLogin-Node,BIT-BOBH/BITLogin-Node,srun,['web'],https://github.com/BIT-BOBH/BITLogin-Node,,2022-08-18 16:30:25.000,2022-08-18 16:31:04,2022-08-18 16:29:37,8.0,,,,,,,3.0,,,,,,北理工统一身份验证第三方接入的NodeJS实现.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,BIT-Online-Judge,https://github.com/Lylist/BIT-Online-Judge,Lylist/BIT-Online-Judge,misc,,https://github.com/Lylist/BIT-Online-Judge,,2017-07-01 13:31:31.000,2017-06-17 13:57:43,2017-06-17 05:33:55,14.0,,4.0,,,,,2.0,,,,,,北京理工大学在线评测系统.,3.0,3,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,huyufeifei/bitypst,https://github.com/huyufeifei/bitypst,huyufeifei/bitypst,template,,https://github.com/huyufeifei/bitypst,MPL-2.0,2024-05-21 14:54:28.000,2025-06-03 14:48:00,2025-06-03 14:48:00,7.0,,,1.0,,,,2.0,,,,,,Typst template for Beijing Institute of Technology (BIT) undergraduate thesis.,,3,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,BIT-AeroSpace-Learning,https://github.com/Aray42/BIT-AeroSpace-Learning,Aray42/BIT-AeroSpace-Learning,agg,,https://github.com/Aray42/BIT-AeroSpace-Learning,,2025-08-30 06:02:50.000,2025-09-12 12:01:20,2025-09-12 12:01:20,53.0,,,,,,,2.0,,,,,,记录北理精工书院一位航天小登的成长历程。.,,3,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True
138,bPlanner,https://zaibit.com,phy25/bPlanner,cal,,https://github.com/phy25/bPlanner,MIT,2016-01-14 06:47:42.000,2018-03-14 11:17:42,2016-08-12 15:09:05,22.0,,,2.0,,1.0,1.0,1.0,,,,,,Schedule fetcher for BIT.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,HowMuch,https://github.com/RaulWei/HowMuch,RaulWei/HowMuch,academic,"['python', 'web']",https://github.com/RaulWei/HowMuch,,2015-06-07 11:43:54.000,2015-08-03 12:03:24,2015-08-03 12:03:23,168.0,,1.0,1.0,1.0,,,,,,,,,北京理工大学研究生教务处机器人.,2.0,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,北京理工大学大学生职业发展协会综合签到系统,http://signsys.zhbitscda.com/,zhbitscda/SCDA_signsys_latest,org,,https://github.com/zhbitscda/SCDA_signsys_latest,,2017-04-21 05:07:05.000,2017-04-27 18:45:21,2017-04-27 18:45:20,9.0,,,6.0,,,,,,,,,,北京理工大学大学生职业发展协会综合签到系统.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,混合现实与新型显示实验室/虚拟人资产,https://gitee.com/bitmrlab/virtual-human-assets,,exp,,,Apache-2.0,2021-06-17 20:13:16.000,2021-08-30 11:46:59,,,,0.0,1.0,,,,,,,,,,本仓库开源了基于lightstage搭建的大球人脸形状及材质系统采集的高精度人脸模型和材质资产。数据来源北京理工大学混合现实与新型显示实验室。.,,3,False,3.0,,,,,,,,,bitmrlab/virtual-human-assets,https://gitee.com/bitmrlab/virtual-human-assets,,,,,,,,,,,,,,,,,
142,BIT物理实验数据处理工具,https://gitee.com/Creeper_LKF/BIT-Physics-Experiment,,misc,['python'],,CC-BY-SA-4.0,2021-10-01 20:20:09.000,2021-10-02 17:58:33,,,,0.0,1.0,,,,,,,,,,这个仓库用来存放北京理工大学物理实验相关资料。.,,3,False,2.0,,,,,,,,,Creeper_LKF/BIT-Physics-Experiment,https://gitee.com/Creeper_LKF/BIT-Physics-Experiment,,,,,,,,,,,,,,,,,
143,bit_jwc,https://github.com/haohaolalahao/bit_jwc,haohaolalahao/bit_jwc,academic,['python'],https://github.com/haohaolalahao/bit_jwc,,2017-12-21 09:13:18.000,2018-01-02 00:45:08,2018-01-02 00:45:07,9.0,,1.0,,,,,,,,,,,成绩查询、考试信息查询、一键评教。.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,message_send,https://github.com/Z-ly/message_send,Z-ly/message_send,office,['python'],https://github.com/Z-ly/message_send,,2019-03-27 13:14:51.000,2019-07-29 02:57:31,2019-07-29 02:57:12,4.0,,,,,,,,,,,,,京工飞鸿医疗报销短信生成及自动发送.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,北理工乐学增强,https://greasyfork.org/scripts/34730-%E5%8C%97%E7%90%86%E5%B7%A5%E4%B9%90%E5%AD%A6%E5%A2%9E%E5%BC%BA,,academic,['web'],,,2017-11-02 08:48:22.000,2021-03-02 02:17:53,,,,,,,,,,,,,,,增强北理工乐学的功能.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,34730.0,https://greasyfork.org/scripts/34730,https://update.greasyfork.org/scripts/34730/%E5%8C%97%E7%90%86%E5%B7%A5%E4%B9%90%E5%AD%A6%E5%A2%9E%E5%BC%BA.user.js,153.0,34.2,
146,BlockIt,https://github.com/Devil-SX/BlockIt,Devil-SX/BlockIt,apollo,,https://github.com/Devil-SX/BlockIt,MIT,2023-05-10 14:59:26.000,2023-07-09 07:59:27,2023-07-09 07:59:08,20.0,,,2.0,,,2.0,,,,,,,⚠️ 该仓库重新调整定位中! 提高您的Verilog设计工作效率！.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,乐学增强脚本整合包,https://greasyfork.org/scripts/510922-%E5%8C%97%E4%BA%AC%E7%90%86%E5%B7%A5%E5%A4%A7%E5%AD%A6-bit-%E4%B9%90%E5%AD%A6%E5%A2%9E%E5%BC%BA%E8%84%9A%E6%9C%AC%E6%95%B4%E5%90%88%E5%8C%85,,academic,,,GNU General Public License v3.0 or later,2024-09-30 15:47:19.000,2025-10-26 10:26:10,,,,,,,,,,,,,,,乐学脚本儿大礼包.,,3,True,3.0,,,,,,,,,,,,,,,,,,,,,,510922.0,https://greasyfork.org/scripts/510922,https://update.greasyfork.org/scripts/510922/%5B%E5%8C%97%E4%BA%AC%E7%90%86%E5%B7%A5%E5%A4%A7%E5%AD%A6%20BIT%5D%20%E4%B9%90%E5%AD%A6%E5%A2%9E%E5%BC%BA%E8%84%9A%E6%9C%AC%E6%95%B4%E5%90%88%E5%8C%85.user.js,21.0,5.0,
148,北理工-实验选课助手,https://greasyfork.org/scripts/555729-%E5%8C%97%E7%90%86%E5%B7%A5-%E5%AE%9E%E9%AA%8C%E9%80%89%E8%AF%BE%E5%8A%A9%E6%89%8B,,academic,,,MIT License,2025-11-13 15:21:24.000,2025-11-13 15:23:13,,,,,,,,,,,,,,,bit 实验选课平台一点前端优化.,,3,True,3.0,,,,,,,,,,,,,,,,,,,,,,555729.0,https://greasyfork.org/scripts/555729,https://update.greasyfork.org/scripts/555729/%E5%8C%97%E7%90%86%E5%B7%A5-%E5%AE%9E%E9%AA%8C%E9%80%89%E8%AF%BE%E5%8A%A9%E6%89%8B.user.js,,5.0,
149,数字逻辑期末考试复习,https://donglinkang2021.github.io/DigitLogic/,donglinkang2021/DigitLogic,learning,,https://github.com/donglinkang2021/DigitLogic,,2023-06-14 06:42:47.000,2023-06-16 08:51:33,2023-06-16 08:49:47,2.0,,4.0,1.0,,,,30.0,,,,,,北京理工大学大二下数字逻辑复习总结.,1.0,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,北京理工大学数据库复习总结,https://donglinkang2021.github.io/DatabaseReview/,donglinkang2021/DatabaseReview,learning,,https://github.com/donglinkang2021/DatabaseReview,,2023-06-16 01:19:43.000,2023-06-16 08:38:27,2023-06-16 08:37:23,2.0,,2.0,1.0,,,,22.0,,,,,,北京理工大学大二下数据库复习总结.,1.0,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,BIT_Thesis,https://github.com/zhang-datou/BIT_Thesis,zhang-datou/BIT_Thesis,template,['latex'],https://github.com/zhang-datou/BIT_Thesis,,2016-11-16 07:39:22.000,2020-05-03 02:12:21,2020-05-03 02:12:20,14.0,,8.0,1.0,2.0,1.0,,12.0,,,,,,北京理工大学硕士毕业论文word和latex模板.,2.0,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Traccy-Debugging/BIT-CS-Learning,https://github.com/Traccy-Debugging/BIT-CS-Learning,Traccy-Debugging/BIT-CS-Learning,learning,,https://github.com/Traccy-Debugging/BIT-CS-Learning,,2024-02-27 07:10:01.000,2024-02-27 07:55:08,2024-02-27 07:55:08,18.0,,,1.0,,,,12.0,,,,,,北京理工大学-徐特立学院-计算机科学与技术专业课程资料 Beijing Institute of Technology (BIT)-Xu Teli College-Computer Science and Technology..,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,BIT-Courses-for-C-and-CPP,https://github.com/dzyxdd/BIT-Courses-for-C-and-CPP,dzyxdd/BIT-Courses-for-C-and-CPP,learning,,https://github.com/dzyxdd/BIT-Courses-for-C-and-CPP,,2022-10-06 12:19:00.000,2023-07-18 08:35:51,2023-07-18 08:35:51,30.0,,2.0,,3.0,,1.0,11.0,,,,,,北京理工大学C语言程序设计、程序设计方法与实践、数据结构与算法设计等课程题目程序整理（更新中）.,2.0,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Bitnoc12/CSAPP_BIT,https://github.com/Bitnoc12/CSAPP_BIT,Bitnoc12/CSAPP_BIT,learning,,https://github.com/Bitnoc12/CSAPP_BIT,,2024-01-20 18:27:04.000,2024-01-20 18:35:04,2024-01-20 18:35:03,8.0,,1.0,1.0,,,,10.0,,,,,,北理工-计算机系统导论.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,BITlife,https://github.com/shinianzhihou/BITlife,shinianzhihou/BITlife,learning,,https://github.com/shinianzhihou/BITlife,GPL-2.0,2019-06-05 11:16:07.000,2020-05-29 03:17:56,2020-05-29 03:17:55,10.0,,,,1.0,1.0,,9.0,2020-05-29 03:10:45.000,PDF,18.0,0.0,1.0,用来整理大学三年的一些资料个和个人总结.,2.0,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,FDUZS/BIThesis,https://github.com/FDUZS/BIThesis,FDUZS/BIThesis,template,['latex'],https://github.com/FDUZS/BIThesis,LPPL-1.3c,2020-09-11 10:33:19.000,2022-11-25 13:21:28,2022-11-25 13:21:16,20.0,,,1.0,,,1.0,8.0,,,,,,北京理工大学硕士博士研究生学位论文 LaTeX 模板 — 非官方.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,BitWebClient,https://github.com/yAnXImIN/BitWebClient,yAnXImIN/BitWebClient,srun,['java'],https://github.com/yAnXImIN/BitWebClient,,2016-07-25 04:17:31.000,2016-07-25 08:18:02,2016-07-25 08:17:29,10.0,,1.0,2.0,,,,6.0,,,,,,A Java Client for Beijing Institute of Technology Campus Web 北京理工大学校园网登录.,3.0,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,北理工-大一上学期-C语言程序设计-乐学lexueOJ-所有题目的AC代码合集,https://github.com/liujiaqun/BIT-C,liujiaqun/BIT-C,learning,,https://github.com/liujiaqun/BIT-C,,2024-05-11 13:32:39.000,2024-05-11 14:09:08,2024-05-11 14:09:08,4.0,,,1.0,,1.0,,6.0,,,,,,北京理工大学-C语言程序设计代码-乐学lexueOJ-所有题目的AC代码合集.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,auto_course_select,https://github.com/entalent/auto_course_select,entalent/auto_course_select,academic,,https://github.com/entalent/auto_course_select,,2017-09-16 08:28:04.000,2018-01-18 10:46:00,2018-01-18 10:46:00,9.0,,,1.0,,,,5.0,,,,,,"A python program for auto selecting course, based on selenium.",,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,一点儿北理地图,https://map.bitnp.net/,,cal,['web'],,,2021-07-24 19:38:18.000,2023-07-10 22:19:18,,,,0.0,7.0,,1.0,,4.0,,,,,,一个校园地图。 校内：https://map.bitnp.net/ 。 旧版：https://capchdo.com/xyc/map 。.,,2,False,3.0,,,,,,,,,YDX-2147483647/map,https://gitee.com/YDX-2147483647/map,,,,,,,,,,,,,,,,,
161,10.0.0.55 enhance,https://greasyfork.org/scripts/367663-10-0-0-55-enhance,fky2015/10-0-0-55-enhance,srun,['web'],https://github.com/fky2015/10-0-0-55-enhance,,2018-05-07 16:10:55.000,2018-08-29 05:27:53,2018-08-29 05:27:40,13.0,,,1.0,,,,4.0,,,,,,make 10.0.0.55 clearer and better.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,367663.0,https://greasyfork.org/scripts/367663,https://update.greasyfork.org/scripts/367663/100055%20enhance.user.js,19.0,5.0,
162,片上系统设计,https://github.com/silenuszhi/SoC_Design_Archive,silenuszhi/SoC_Design_Archive,exp,['hdl'],https://github.com/silenuszhi/SoC_Design_Archive,,2021-09-22 02:50:32.000,2021-09-26 07:15:48,2021-09-26 07:15:48,5.0,,1.0,2.0,,,,3.0,,,,,,"Archive for scripts, codes, slides in the class.",,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Batch_Collections ➡️ Campus_network,https://github.com/KJH-x/Batch_Collections,KJH-x/Batch_Collections,srun,['python'],https://github.com/KJH-x/Batch_Collections,WTFPL,2022-11-30 07:58:14.000,2025-03-19 07:05:54,2025-03-19 07:05:35,104.0,,1.0,1.0,1.0,,1.0,3.0,,,,,,校园网脚本（登录、登出，自动重连）.,2.0,2,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,未来精工生存指南,https://bitft-wiki.vercel.app,TT2TER/BITFTechWiki,agg,,https://github.com/TT2TER/BITFTechWiki,GPL-3.0,2022-08-19 07:42:24.000,2025-02-23 05:55:40,2025-02-23 05:55:40,38.0,,2.0,1.0,1.0,,,2.0,,,,,,北理工未来精工技术学院生存指南.,2.0,2,True,3.0,,,,,,,,,tt29294/BITFTechWiki,https://gitee.com/tt29294/BITFTechWiki,,,,,,,,,,,,,,,,,
165,Patch of BITJWC,https://github.com/fenprace/Patch-of-BITJWC,fenprace/Patch-of-BITJWC,academic,['web'],https://github.com/fenprace/Patch-of-BITJWC,GPL-3.0,2016-09-21 01:56:30.000,2017-01-11 12:46:31,2017-01-11 12:46:20,11.0,,,1.0,,,,2.0,,,,,,A script fixing bugs on the pages of jwc.bit.edu.cn.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,bit-cas-profile,https://github.com/liling/bit-cas-profile,liling/bit-cas-profile,edu-cn,,https://github.com/liling/bit-cas-profile,,2011-02-01 16:24:42.000,2011-04-02 01:08:35,2011-04-02 01:13:35,69.0,,,1.0,,,,2.0,,,,,,profile function of bit cas system.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,嵌入式系统原理与应用/v853-bare,https://gitee.com/bitpmcrg/v853-bare,,learning,"['asm', 'cpp']",,MIT,2022-11-21 11:15:20.000,2023-05-07 14:02:29,,,,1.0,1.0,,,,1.0,,,,,,全志v853芯片裸机开发示例程序。.,,2,False,3.0,,,,,,,,,bitpmcrg/v853-bare,https://gitee.com/bitpmcrg/v853-bare,,,,,,,,,,,,,,,,,
168,延河课堂播放功能增强,https://greasyfork.org/zh-CN/scripts/434987,OrdosX/yanhekt-tool,academic,['web'],https://github.com/OrdosX/yanhekt-tool,,2021-11-04 11:36:38.000,2021-11-14 14:15:13,2021-11-14 14:15:07,3.0,,,1.0,,,,1.0,,,,,,视频列表内一大节只显示一个链接，点击视频空白处切换播放暂停，左右方括号切换2倍速和原速，数字键1和2切换单双屏.,,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,434987.0,https://greasyfork.org/scripts/434987,https://update.greasyfork.org/scripts/434987/%E5%BB%B6%E6%B2%B3%E8%AF%BE%E5%A0%82%E6%92%AD%E6%94%BE%E5%A2%9E%E5%BC%BA.user.js,72.0,20.7,
169,Starry-BITPT,https://github.com/frantic1048/Starry-BITPT,frantic1048/Starry-BITPT,org,['web'],https://github.com/frantic1048/Starry-BITPT,MIT,2014-12-02 11:01:56.000,2014-12-03 07:34:03,2014-12-03 07:33:37,7.0,,,1.0,,,,1.0,,,,,,极速之星全站夜空风格的混乱邪恶的 Stylish 样式.,2.0,2,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
