,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,dependent_project_count,github_dependent_project_count,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,gitee_id,gitee_url,docs_url,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,new_addition
10,BIT_yanhe_download,https://github.com/AuYang261/BIT_yanhe_download,AuYang261/BIT_yanhe_download,academic,['python'],https://github.com/AuYang261/BIT_yanhe_download,MIT,2023-03-31 09:09:41.000,2025-01-03 02:39:37,2025-01-03 02:39:33,57.0,1.0,9.0,2.0,7.0,1.0,6.0,66.0,2024-08-14 05:06:34.000,3.1,1189.0,79.0,15.0,北京理工大学延河课堂回放下载器.,4.0,10,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,BIThesis-wiki,https://bithesis.bitnp.net,BITNP/BIThesis-wiki,template,['latex'],https://github.com/BITNP/BIThesis-wiki,CC0-1.0,2020-11-25 12:05:29.000,2025-01-01 21:29:09,2025-01-01 21:29:08,792.0,23.0,5.0,5.0,425.0,5.0,35.0,12.0,,,,,,非官方本科生毕业设计论文/研究生学位论文 LaTeX 模板（以及更多）在线文档.,15.0,10,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,BIT-CS,https://github.com/xiabee/BIT-CS,xiabee/BIT-CS,learning,,https://github.com/xiabee/BIT-CS,Apache-2.0,2020-03-14 12:24:55.000,2021-12-14 11:20:18,2021-12-14 11:18:13,67.0,,34.0,4.0,,2.0,3.0,258.0,,,,,,北京理工大学计算机学院课程代码/历年试卷/知识点总结等，欢迎PR.,1.0,9,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,北理工延河课堂视频下载,https://github.com/GDDG08/YanHeKT_Downloader,GDDG08/YanHeKT_Downloader,academic,['python'],https://github.com/GDDG08/YanHeKT_Downloader,MPL-2.0,2023-04-01 15:27:44.000,2024-04-03 17:34:43,2024-04-03 17:34:36,28.0,,7.0,1.0,2.0,1.0,5.0,51.0,2024-04-03 17:18:00.000,Beta-2.3.4,605.0,28.0,7.0,北理工延河课堂视频下载.,3.0,9,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Bulletin Issues Transferred,https://haobit.top/dev/site/notice/,YDX-2147483647/bulletin-issues-transferred,agg,['Web'],https://github.com/YDX-2147483647/bulletin-issues-transferred,MIT,2021-12-11 15:23:43.000,2024-11-26 11:57:55,2024-11-26 03:57:37,172.0,1.0,1.0,4.0,24.0,9.0,26.0,31.0,,,,,,汇总 BIT 各种网站的通知。（以及钉钉、RSS插件等）.,3.0,9,True,1.0,,,,,,,,,YDX-2147483647/bulletin-issues-transferred,https://gitee.com/YDX-2147483647/bulletin-issues-transferred,,,,,,,,,,,,,,,,,
15,bitroom (Book an Incongruent Topological Room Or be Out of Mind),https://github.com/YDX-2147483647/bitroom,YDX-2147483647/bitroom,cal,['python'],https://github.com/YDX-2147483647/bitroom,MIT,2023-05-04 13:18:27.000,2023-07-10 14:17:16,2023-07-10 14:17:16,30.0,,,1.0,,2.0,4.0,1.0,2023-05-18 01:53:00.446,0.1.5,,272.0,5.0,BIT 场地预约查询接口。（bitroom）🚩🏠.,,9,False,1.0,,3.0,3.0,,bitroom,https://pypi.org/project/bitroom,2023-05-18 01:53:00.446,272.0,,,https://github.com/YDX-2147483647/bitroom/wiki,,,,,,,,,,,,,,,,
16,BITCS Coursework,https://github.com/spencerwooo/BITCS-Coursework,spencerwooo/BITCS-Coursework,learning,,https://github.com/spencerwooo/BITCS-Coursework,CC-BY-SA-4.0,2019-04-29 15:24:01.000,2021-06-07 05:15:07,2020-01-11 10:15:06,17.0,,29.0,5.0,1.0,1.0,,202.0,,,,,,不完整北京理工大学计算机学院课程项目资料清单。.,2.0,8,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,BIT101,https://bit101.cn,BIT101-dev/BIT101,agg,['web'],https://github.com/BIT101-dev/BIT101,AGPL-3.0,2022-02-22 13:24:29.000,2025-01-17 17:47:13,2025-01-14 07:40:58,124.0,6.0,8.0,4.0,20.0,6.0,19.0,108.0,,,,,,百丽宫攻略、课程评价及资料、课表、查成绩。.,4.0,8,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Web VPN Converter,https://webvpn.swo.moe/,spencerwooo/bit-webvpn-converter,edu-cn,['Web'],https://github.com/spencerwooo/bit-webvpn-converter,,2020-07-01 04:30:50.000,2024-07-20 02:33:44,2024-07-20 02:33:42,293.0,,32.0,4.0,251.0,2.0,9.0,87.0,,,,,,Web VPN converter.,7.0,8,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,BITthesis,https://github.com/qiuzhu/BITthesis,qiuzhu/BITthesis,template,['latex'],https://github.com/qiuzhu/BITthesis,GPL-3.0,2016-08-17 08:41:37.000,2017-10-11 05:32:37,2017-09-08 12:53:22,142.0,,24.0,5.0,6.0,3.0,,58.0,2017-08-11 09:39:55.000,1.3,,,4.0,Thesis Template of Beijing Institute of Technology Using LaTeX.,2.0,8,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,bitsrun-rs,https://github.com/spencerwooo/bitsrun-rs,spencerwooo/bitsrun-rs,srun,,https://github.com/spencerwooo/bitsrun-rs,MIT,2023-11-17 08:31:32.000,2025-01-22 01:37:48,2025-01-13 02:18:00,72.0,1.0,1.0,2.0,9.0,2.0,2.0,34.0,2024-04-26 08:56:36.872,0.4.0,472.0,399.3333333333333,7.0,"🌐 A headless login / logout CLI for gateway (10.0.0.55) at BIT, now in Rust. 北京理工大学 10.0.0.55 校园网登录登出的 Rust 实现.",2.0,8,True,2.0,,,,,,,,,,,,bitsrun,https://crates.io/crates/bitsrun,2024-04-26 08:56:36.872,366.3333333333333,5312.0,,,,,,,,,,,
21,BIT Online Code Helper,https://github.com/Crawler995/BITOnlineCodeHelper,Crawler995/BITOnlineCodeHelper,academic,,https://github.com/Crawler995/BITOnlineCodeHelper,MIT,2020-01-14 12:32:09.000,2020-04-16 01:33:26,2020-04-16 01:11:16,3.0,,,2.0,,,,1.0,2020-04-16 01:33:26.000,1.0.4,,391.0,6.0,Test and commit your code of BIT Online coding homework more easily and conveniently!.,,8,False,1.0,,,,,BIT-Online-Code-Helper,https://pypi.org/project/BIT-Online-Code-Helper,2020-04-16 01:33:26.000,391.0,,,,,,,,,,,,,,,,,,,
22,BIT-CS-Learning,https://github.com/songshangru/BIT-CS-Learning,songshangru/BIT-CS-Learning,learning,,https://github.com/songshangru/BIT-CS-Learning,,2021-01-01 06:09:41.000,2024-05-20 01:15:06,2024-05-20 01:15:06,119.0,,68.0,6.0,24.0,1.0,2.0,339.0,,,,,,保存一下我自己整理的北理工计科的学习资料，欢迎分享资源.,6.0,7,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,BIT-MiniCC,https://github.com/jiweixing/BIT-MiniCC,jiweixing/BIT-MiniCC,apollo,,https://github.com/jiweixing/BIT-MiniCC,,2016-04-13 05:47:59.000,2023-05-17 05:40:04,2023-05-17 05:40:04,64.0,,111.0,11.0,8.0,6.0,7.0,180.0,,,,,,A C compiler framework in Java.,2.0,7,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,BIT-DA/RIPU,https://github.com/BIT-DA/RIPU,BIT-DA/RIPU,apollo,,https://github.com/BIT-DA/RIPU,MIT,2022-03-13 06:24:18.000,2023-10-22 12:02:53,2023-10-22 12:02:53,13.0,,18.0,7.0,,,5.0,146.0,,,,,,[CVPR 2022 Oral] Towards Fewer Annotations: Active Learning via Region Impurity and Prediction Uncertainty for Domain..,2.0,7,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Hyperzsb/bit-cs,https://github.com/Hyperzsb/bit-cs,Hyperzsb/bit-cs,learning,,https://github.com/Hyperzsb/bit-cs,MIT,2019-11-24 08:01:50.000,2021-08-23 13:14:38,2021-08-23 13:14:27,101.0,,3.0,2.0,2.0,,,28.0,,,,,,"Codes and other resources of courses offered in School of Computer Science & Technology, Beijing Institute of..",4.0,7,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,BIT-enhanced,https://ydx-2147483647.github.io/BIT-enhanced/,YDX-2147483647/BIT-enhanced,edu-cn,['Web'],https://github.com/YDX-2147483647/BIT-enhanced,GPL-3.0,2021-01-19 12:34:37.000,2025-01-08 15:44:55,2025-01-08 07:44:40,235.0,3.0,3.0,1.0,28.0,1.0,7.0,13.0,,,,,,一些方便大家使用 BIT 相关网站的用户脚本和用户样式表。.,5.0,7,True,2.0,,,,,,,,,YDX-2147483647/BIT-enhanced,https://gitee.com/YDX-2147483647/BIT-enhanced,,,,,,,,,,,,,,,,,
27,BIT-WEB,https://github.com/Ethan-yt/BIT-WEB,Ethan-yt/BIT-WEB,srun,['web'],https://github.com/Ethan-yt/BIT-WEB,ISC,2019-04-02 05:04:30.000,2022-02-11 18:53:56,2019-04-02 10:59:45,4.0,,1.0,2.0,2.0,,,2.0,2019-04-02 11:00:08.528,1.0.5,,19.0,5.0,北理工上网命令行脚本，支持联通移动.,,7,False,2.0,,5.0,3.0,,,,,,,,,,,,,,@ethanyt/bit,https://www.npmjs.com/package/@ethanyt/bit,2019-04-02 11:00:08.528,2.0,19.0,,,,,,
28,北京理工大学-本科-人工智能专业-通关经验包,https://github.com/Robin-WZQ/BIT-AI-Review,Robin-WZQ/BIT-AI-Review,learning,,https://github.com/Robin-WZQ/BIT-AI-Review,,2022-01-04 03:42:17.000,2024-11-06 08:36:28,2024-11-06 08:36:28,566.0,1.0,10.0,1.0,2.0,1.0,2.0,170.0,,,,,,本项目分享了本人在北京理工大学计算机学院人工智能专业的相关课程资料与经验分享。希望对你们有所帮助❤️，如果喜欢的话记得给个star哦🌟.,3.0,6,True,2.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
29,BIT101-Android,https://github.com/BIT101-dev/BIT101-Android,BIT101-dev/BIT101-Android,agg,,https://github.com/BIT101-dev/BIT101-Android,AGPL-3.0,2023-03-14 16:43:24.000,2024-08-20 16:42:02,2024-08-20 16:42:02,24.0,,2.0,2.0,6.0,4.0,1.0,34.0,2023-09-19 13:15:51.000,1.1.0,75.0,4.0,3.0,针对北京理工大学搞的怪安卓.,4.0,6,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
