,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,trending,gitee_id,gitee_url,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,npm_id,dependent_project_count,github_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,docs_url,new_addition,updated_github_id
94,detect-BITOJ,https://github.com/YDX-2147483647/detect-BITOJ,YDX-2147483647/detect-BITOJ,academic,['python'],https://github.com/YDX-2147483647/detect-BITOJ,,2020-12-02 11:48:22,2023-07-10 14:22:07,2023-07-10 14:22:07,32.0,,2.0,2.0,,,,3.0,,,,,,探测BIT乐学OJ的保密测试用例（合法方法）.,,3,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,LexueAPI,https://github.com/BIT-BOBH/LexueAPI,BIT-BOBH/LexueAPI,academic,,https://github.com/BIT-BOBH/LexueAPI,,2023-08-29 08:27:55,2023-09-01 00:52:37,2023-09-01 00:52:31,22.0,,,,,,,2.0,,,,,,北京理工大学第三方乐学api实现.,,3,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Starry-BITPT,https://github.com/frantic1048/Starry-BITPT,frantic1048/Starry-BITPT,org,['web'],https://github.com/frantic1048/Starry-BITPT,MIT,2014-12-02 11:01:56,2014-12-03 07:34:03,2014-12-03 07:33:37,7.0,,,3.0,,,,1.0,,,,,,极速之星全站夜空风格的混乱邪恶的 Stylish 样式.,2.0,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,bPlanner,https://zaibit.com,phy25/bPlanner,cal,,https://github.com/phy25/bPlanner,MIT,2016-01-14 06:47:42,2018-03-14 11:17:42,2016-08-12 15:09:05,22.0,,,2.0,,1.0,1.0,1.0,,,,,,Schedule fetcher for BIT.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,HowMuch,https://github.com/RaulWei/HowMuch,RaulWei/HowMuch,academic,"['python', 'web']",https://github.com/RaulWei/HowMuch,,2015-06-07 11:43:54,2015-08-03 12:03:24,2015-08-03 12:03:23,168.0,,1.0,2.0,1.0,,,,,,,,,北京理工大学研究生教务处机器人.,2.0,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,北京理工大学大学生职业发展协会综合签到系统,http://signsys.zhbitscda.com/,zhbitscda/SCDA_signsys_latest,org,,https://github.com/zhbitscda/SCDA_signsys_latest,,2017-04-21 05:07:05,2017-04-27 18:45:21,2017-04-27 18:45:20,9.0,,,7.0,,,,,,,,,,北京理工大学大学生职业发展协会综合签到系统.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,混合现实与新型显示实验室/虚拟人资产,https://gitee.com/bitmrlab/virtual-human-assets,,exp,,,Apache-2.0,2021-06-17 20:13:16,2021-08-30 11:46:59,,,,0.0,1.0,,,,,,,,,,本仓库开源了基于lightstage搭建的大球人脸形状及材质系统采集的高精度人脸模型和材质资产。数据来源北京理工大学混合现实与新型显示实验室。.,,3,False,3.0,,,,,,bitmrlab/virtual-human-assets,https://gitee.com/bitmrlab/virtual-human-assets,,,,,,,,,,,,,,,,,,,,
101,BIT物理实验数据处理工具,https://gitee.com/Creeper_LKF/BIT-Physics-Experiment,,misc,['python'],,CC-BY-SA-4.0,2021-10-01 20:20:09,2021-10-02 17:58:33,,,,0.0,1.0,,,,,,,,,,这个仓库用来存放北京理工大学物理实验相关资料。.,,3,False,1.0,,,,,,Creeper_LKF/BIT-Physics-Experiment,https://gitee.com/Creeper_LKF/BIT-Physics-Experiment,,,,,,,,,,,,,,,,,,,,
102,message_send,https://github.com/Z-ly/message_send,Z-ly/message_send,office,['python'],https://github.com/Z-ly/message_send,,2019-03-27 13:14:51,2019-07-29 02:57:31,2019-07-29 02:57:12,4.0,,,,,,,,,,,,,京工飞鸿医疗报销短信生成及自动发送.,,3,False,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,北理工乐学增强,https://greasyfork.org/scripts/34730-%E5%8C%97%E7%90%86%E5%B7%A5%E4%B9%90%E5%AD%A6%E5%A2%9E%E5%BC%BA,,academic,['web'],,,2017-11-02 08:48:22,2021-03-02 02:17:53,,,,,,,,,,,,,,,增强北理工乐学的功能.,,3,False,3.0,,,,,,,,,,,,,34730.0,https://greasyfork.org/scripts/34730,https://update.greasyfork.org/scripts/34730/%E5%8C%97%E7%90%86%E5%B7%A5%E4%B9%90%E5%AD%A6%E5%A2%9E%E5%BC%BA.user.js,147.0,34.2,,,,,,,,,,
