,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,pypi_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,gitee_id,gitee_url,docs_url,greasy_fork_id,greasy_fork_url,greasy_fork_code_url,greasy_fork_total_installs,greasy_fork_fan_score,trending,npm_id,npm_url,npm_monthly_downloads
67,BIT101-GO,https://bit101.cn,flwfdd/BIT101-GO,agg,['go'],https://github.com/flwfdd/BIT101-GO,AGPL-3.0,2023-03-15 10:17:00,2023-06-08 16:29:16,2023-06-08 15:59:42,21.0,4.0,,2.0,,,,2.0,,,,,,针对北京理工大学搞的怪东西后面的东西.,,3,True,2.0,,,,,,,,,,,,,,,,,
68,嵌入式系统原理与应用/v853-bare,https://gitee.com/bitpmcrg/v853-bare,,learning,"['asm', 'cpp']",,MIT,2022-11-21 11:15:20,2023-05-07 14:02:29,,,,1.0,1.0,,,,1.0,,,,,,全志v853芯片裸机开发示例程序。.,,3,True,3.0,,,,,,bitpmcrg/v853-bare,https://gitee.com/bitpmcrg/v853-bare,,,,,,,,,,
69,bPlanner,https://zaibit.com,phy25/bPlanner,cal,,https://github.com/phy25/bPlanner,MIT,2016-01-14 06:47:42,2018-03-14 11:17:42,2016-08-12 15:09:05,22.0,,,2.0,,1.0,1.0,1.0,,,,,,Schedule fetcher for BIT.,,3,False,3.0,,,,,,,,,,,,,,,,,
70,HowMuch,https://github.com/RaulWei/HowMuch,RaulWei/HowMuch,academic,"['python', 'web']",https://github.com/RaulWei/HowMuch,,2015-06-07 11:43:54,2015-08-03 12:03:24,2015-08-03 12:03:23,168.0,,1.0,2.0,1.0,,,,,,,,,北京理工大学研究生教务处机器人.,2.0,3,False,2.0,,,,,,,,,,,,,,,,,
71,北京理工大学大学生职业发展协会综合签到系统,http://signsys.zhbitscda.com/,zhbitscda/SCDA_signsys_latest,org,,https://github.com/zhbitscda/SCDA_signsys_latest,,2017-04-21 05:07:05,2017-04-27 18:45:21,2017-04-27 18:45:20,9.0,,,7.0,,,,,,,,,,北京理工大学大学生职业发展协会综合签到系统.,,3,False,3.0,,,,,,,,,,,,,,,,,
72,混合现实与新型显示实验室/虚拟人资产,https://gitee.com/bitmrlab/virtual-human-assets,,exp,,,Apache-2.0,2021-06-17 20:13:16,2021-08-30 11:46:59,,,,0.0,1.0,,,,,,,,,,本仓库开源了基于lightstage搭建的大球人脸形状及材质系统采集的高精度人脸模型和材质资产。数据来源北京理工大学混合现实与新型显示实验室。.,,3,False,3.0,,,,,,bitmrlab/virtual-human-assets,https://gitee.com/bitmrlab/virtual-human-assets,,,,,,,,,,
73,BIT物理实验数据处理工具,https://gitee.com/Creeper_LKF/BIT-Physics-Experiment,,misc,['python'],,CC-BY-SA-4.0,2021-10-01 20:20:09,2021-10-02 17:58:33,,,,0.0,1.0,,,,,,,,,,这个仓库用来存放北京理工大学物理实验相关资料。.,,3,False,2.0,,,,,,Creeper_LKF/BIT-Physics-Experiment,https://gitee.com/Creeper_LKF/BIT-Physics-Experiment,,,,,,,,,,
74,message_send,https://github.com/Z-ly/message_send,Z-ly/message_send,misc,['python'],https://github.com/Z-ly/message_send,,2019-03-27 13:14:51,2019-07-29 02:57:31,2019-07-29 02:57:12,4.0,,,,,,,,,,,,,京工飞鸿医疗报销短信生成及自动发送.,,3,False,2.0,,,,,,,,,,,,,,,,,
75,北理工乐学增强,https://greasyfork.org/scripts/34730-%E5%8C%97%E7%90%86%E5%B7%A5%E4%B9%90%E5%AD%A6%E5%A2%9E%E5%BC%BA,,academic,['web'],,,2017-11-02 08:48:22,2021-03-02 02:17:53,,,,,,,,,,,,,,,增强北理工乐学的功能.,,3,False,2.0,,,,,,,,,34730.0,https://greasyfork.org/scripts/34730,https://greasyfork.org/scripts/34730-%E5%8C%97%E7%90%86%E5%B7%A5%E4%B9%90%E5%AD%A6%E5%A2%9E%E5%BC%BA/code/%E5%8C%97%E7%90%86%E5%B7%A5%E4%B9%90%E5%AD%A6%E5%A2%9E%E5%BC%BA.user.js,142.0,34.2,,,,
76,BITCS-2019,https://github.com/bingo123122121/BITCS-2019,bingo123122121/BITCS-2019,learning,,https://github.com/bingo123122121/BITCS-2019,,2022-08-08 13:12:42,2022-12-03 06:05:52,2022-12-03 06:05:41,7.0,,2.0,1.0,,,,16.0,,,,,,本项目是个人整理的北理工计科2019级的学习资料，佛系整理，欢迎分享.,3.0,2,True,3.0,,,,,,,,,,,,,,,,,
77,I_NEED_COURSE,https://github.com/friskit-china/I_NEED_COURSE,friskit-china/I_NEED_COURSE,academic,['python'],https://github.com/friskit-china/I_NEED_COURSE,,2016-09-14 13:01:32,2016-09-14 13:01:57,2016-09-14 13:00:48,1.0,,6.0,1.0,,,,14.0,,,,,,北理工教务系统抢课工具.,,2,False,3.0,,,,,,,,,,,,,,,,,
78,BIT_Thesis,https://github.com/zhang-datou/BIT_Thesis,zhang-datou/BIT_Thesis,template,['latex'],https://github.com/zhang-datou/BIT_Thesis,,2016-11-16 07:39:22,2020-05-03 02:12:21,2020-05-03 02:12:20,14.0,,10.0,1.0,2.0,1.0,,12.0,,,,,,北京理工大学硕士毕业论文word和latex模板.,2.0,2,False,3.0,,,,,,,,,,,,,,,,,
79,FDUZS/BIThesis,https://github.com/FDUZS/BIThesis,FDUZS/BIThesis,template,['latex'],https://github.com/FDUZS/BIThesis,LPPL-1.3c,2020-09-11 10:33:19,2022-11-25 13:21:28,2022-11-25 13:21:16,20.0,,,2.0,,,1.0,6.0,,,,,,北京理工大学硕士博士研究生学位论文 LaTeX 模板 — 非官方.,,2,True,3.0,,,,,,,,,,,,,,,,,
80,BITSTAR,https://github.com/WangTe/BITSTAR,WangTe/BITSTAR,agg,,https://github.com/WangTe/BITSTAR,,2013-11-25 13:02:40,2013-11-26 09:29:19,2013-11-26 07:04:15,10.0,,,1.0,,,,6.0,,,,,,北理校园网址导航.,,2,False,3.0,,,,,,,,,,,,,,,,,
81,bitsrunlogin,https://github.com/BIT-zhwang/BIT-Srun-Login-Public,BIT-zhwang/BIT-Srun-Login-Public,srun,['python'],https://github.com/BIT-zhwang/BIT-Srun-Login-Public,GPL-3.0,2020-12-28 11:56:40,2020-12-28 12:01:56,2020-12-28 12:01:48,3.0,,1.0,1.0,,,,5.0,,,,6.0,,,,2,False,3.0,bitsrunlogin,,,https://pypi.org/project/bitsrunlogin,6.0,,,,,,,,,,,,
82,片上系统设计,https://github.com/silenuszhi/SoC_Design_Archive,silenuszhi/SoC_Design_Archive,exp,['hdl'],https://github.com/silenuszhi/SoC_Design_Archive,,2021-09-22 02:50:32,2021-09-26 07:15:48,2021-09-26 07:15:48,5.0,,1.0,2.0,,,,4.0,,,,,,"Archive for scripts, codes, slides in the class.",,2,False,3.0,,,,,,,,,,,,,,,,,
