,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads
0,BIThesis,https://bithesis.bitnp.net,BITNP/BIThesis,template,['latex'],https://github.com/BITNP/BIThesis,LPPL-1.3c,2020-01-12 14:44:20,2023-03-23 08:30:47,2023-03-20 08:22:27,713,106.0,74.0,8,126.0,7.0,122.0,339.0,2023-03-16 11:50:06,3.4.3,5154.0,139.0,54.0,LaTeX wiki release.,18.0,18,True,1,,,
1,bitsrun,https://github.com/BITNP/bitsrun,BITNP/bitsrun,tool,['python'],https://github.com/BITNP/bitsrun,WTFPL,2018-09-02 04:01:05,2023-03-23 01:04:11,2023-03-23 01:04:09,114,79.0,6.0,2,26.0,1.0,5.0,29.0,2023-02-09 03:54:17,3.5.0,,153.0,6.0,A headless login / logout script for 10.0.0.55 at BIT. 10.0.0.55 Python.,7.0,14,True,1,bitsrun,https://pypi.org/project/bitsrun,153.0
2,Web VPN Converter,https://webvpn.swo.moe/,spencerwooo/bit-webvpn-converter,website,['Web'],https://github.com/spencerwooo/bit-webvpn-converter,,2020-07-01 04:30:50,2023-03-21 01:42:45,2023-03-21 01:42:43,114,39.0,23.0,3,65.0,1.0,7.0,65.0,,,,,,Web VPN converter.,7.0,9,True,1,,,
3,BIT-CS,https://github.com/xiabee/BIT-CS,xiabee/BIT-CS,learning,,https://github.com/xiabee/BIT-CS,Apache-2.0,2020-03-14 12:24:55,2021-12-14 11:20:18,2021-12-14 11:18:13,67,,28.0,4,,2.0,2.0,110.0,,,,,,//PR.,,8,False,1,,,
4,BITCS Coursework,https://github.com/spencerwooo/BITCS-Coursework,spencerwooo/BITCS-Coursework,learning,,https://github.com/spencerwooo/BITCS-Coursework,CC-BY-SA-4.0,2019-04-29 15:24:01,2021-06-07 05:15:07,2020-01-11 10:15:06,17,,26.0,3,1.0,,,113.0,,,,,,,2.0,7,False,2,,,
5,BIT-CS-Learning,https://github.com/songshangru/BIT-CS-Learning,songshangru/BIT-CS-Learning,learning,,https://github.com/songshangru/BIT-CS-Learning,,2021-01-01 06:09:41,2023-02-08 04:21:25,2023-02-08 04:21:25,86,3.0,40.0,4,12.0,,2.0,100.0,,,,,,,3.0,7,True,2,,,
6,BIT101,https://bit101.cn,flwfdd/BIT101,website,"['Web', 'python']",https://github.com/flwfdd/BIT101,MIT,2022-02-22 13:24:29,2023-03-07 09:08:10,2023-03-07 09:07:09,41,6.0,2.0,2,1.0,3.0,6.0,46.0,,,,,,,2.0,6,True,3,,,
7,北京理工大学-本科-人工智能专业-通关经验包,https://github.com/Robin-WZQ/BIT-AI-Review,Robin-WZQ/BIT-AI-Review,learning,,https://github.com/Robin-WZQ/BIT-AI-Review,,2022-01-04 03:42:17,2023-03-02 11:51:02,2023-03-02 11:51:02,549,7.0,5.0,1,2.0,1.0,1.0,24.0,,,,,,star.,3.0,6,True,3,,,
8,BITCS-final-exam-learning-materials,https://github.com/tulerfeng/BITCS-final-exam-learning-materials,tulerfeng/BITCS-final-exam-learning-materials,learning,,https://github.com/tulerfeng/BITCS-final-exam-learning-materials,GPL-3.0,2021-05-25 04:40:22,2021-05-25 03:23:44,2021-05-25 03:22:08,5,,6.0,1,,,,25.0,,,,,,CS/PR.,,5,False,3,,,
9,SecretWeapon,https://github.com/BITNP/SecretWeapon,BITNP/SecretWeapon,learning,,https://github.com/BITNP/SecretWeapon,,2016-03-27 05:57:53,2021-12-09 03:32:00,2021-12-09 03:32:00,35,,13.0,7,1.0,,1.0,23.0,,,,,,Secret weapons that arm your studies.,8.0,5,False,3,,,
10,BIT-enhanced,https://ydx-2147483647.github.io/BIT-enhanced/,YDX-2147483647/BIT-enhanced,tool,['Web'],https://github.com/YDX-2147483647/BIT-enhanced,GPL-3.0,2021-01-19 12:34:37,2023-03-16 13:54:04,2023-03-16 13:53:55,160,3.0,,1,1.0,,2.0,4.0,,,,,,BIT.,3.0,5,True,2,,,
11,Bulletin Issues Transferred,https://haobit.top/dev/site/notice/,YDX-2147483647/bulletin-issues-transferred,tool,['Web'],https://github.com/YDX-2147483647/bulletin-issues-transferred,MIT,2021-12-11 15:23:43,2023-03-17 14:51:34,2023-03-17 14:51:34,116,15.0,,1,3.0,6.0,7.0,1.0,,,,,,BITRSS.,2.0,5,True,2,,,
12,Bus Interrogation Tunnel,https://github.com/YDX-2147483647/bus-interrogation-tunnel,YDX-2147483647/bus-interrogation-tunnel,tool,['python'],https://github.com/YDX-2147483647/bus-interrogation-tunnel,MIT,2023-03-11 16:48:57,2023-03-14 09:16:37,2023-03-14 09:13:21,8,8.0,,1,,,,1.0,,,,131.0,,BIT bitbus.,,4,True,3,bus-interrogation-tunnel,https://pypi.org/project/bus-interrogation-tunnel,131.0
13,BIT WebVPN URL 双向转换器（浏览器扩展）,https://addons.mozilla.org/zh-CN/firefox/addon/bit-webvpn-converter/,YDX-2147483647/bit-webvpn-converter-web-extension,tool,['Web'],https://github.com/YDX-2147483647/bit-webvpn-converter-web-extension,,2022-11-12 13:43:24,2023-02-01 03:34:48,2022-11-14 11:14:41,14,,,1,,1.0,,,,,,,,BIT WebVPN URL.,,2,True,3,,,
