,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,gitee_id,gitee_url,new_addition
17,BIT睿信空间预约,https://bitrxc.com,bitrxc/bitrxc-server,website,['web'],https://github.com/bitrxc/bitrxc-server,AGPL-3.0,2021-01-28 01:55:52,2022-07-27 22:42:51,2022-04-14 12:42:57,255.0,,4.0,1.0,38.0,,,4.0,2021-04-30 01:18:04,beta-1.1.1,,,1.0,Server of Management System of BIT Ruixin Community.,6.0,6,True,3,,,,,,
18,Bulletin Issues Transferred,https://haobit.top/dev/site/notice/,YDX-2147483647/bulletin-issues-transferred,tool,['Web'],https://github.com/YDX-2147483647/bulletin-issues-transferred,MIT,2021-12-11 15:23:43,2023-04-18 04:53:53,2023-04-18 04:53:02,127.0,22.0,,2.0,3.0,5.0,9.0,2.0,,,,,,汇总BIT各种网站的通知。（以及钉钉、RSS插件等）.,3.0,6,True,2,,,,,,
19,BIT自动请假,https://github.com/YoungKlaus/BIT_Auto_Leave,YoungKlaus/BIT_Auto_Leave,tool,['python'],https://github.com/YoungKlaus/BIT_Auto_Leave,,2022-09-28 09:14:11,2022-11-08 16:00:52,2022-11-08 16:00:52,31.0,,28.0,1.0,1.0,,1.0,29.0,,,,,,北京理工大学自动请假.,,5,True,3,,,,,,
20,BITCS-final-exam-learning-materials,https://github.com/tulerfeng/BITCS-final-exam-learning-materials,tulerfeng/BITCS-final-exam-learning-materials,learning,,https://github.com/tulerfeng/BITCS-final-exam-learning-materials,GPL-3.0,2021-05-25 04:40:22,2021-05-25 03:23:44,2021-05-25 03:22:08,5.0,,6.0,1.0,,,,26.0,,,,,,北理工计算机CS期末考试复习资料/历年考题汇总，欢迎PR.,,5,False,3,,,,,,
21,SecretWeapon,https://github.com/BITNP/SecretWeapon,BITNP/SecretWeapon,learning,,https://github.com/BITNP/SecretWeapon,,2016-03-27 05:57:53,2021-12-09 03:32:00,2021-12-09 03:32:00,35.0,,13.0,7.0,1.0,,1.0,23.0,,,,,,Secret weapons that arm your studies.,8.0,5,False,3,,,,,,
22,BIT-Titled-Letter-Paper,https://github.com/jincao2013/BIT-Titled-Letter-Paper,jincao2013/BIT-Titled-Letter-Paper,misc,,https://github.com/jincao2013/BIT-Titled-Letter-Paper,MIT,2019-05-07 10:03:17,2019-05-07 10:15:06,2019-05-07 10:15:06,4.0,,,,,,,10.0,,,,,,Beijing institute of technology titled letter paper (北京理工大学抬头纸).,,5,False,1,,,,,,
23,BIT-Automation-Proposal-Report,https://github.com/CharlieLeee/BIT-Automation-Proposal-Report,CharlieLeee/BIT-Automation-Proposal-Report,template,['latex'],https://github.com/CharlieLeee/BIT-Automation-Proposal-Report,MIT,2021-01-02 05:28:05,2021-05-10 16:23:44,2021-05-10 16:23:44,14.0,,2.0,1.0,2.0,,,9.0,2021-01-31 13:49:36,2.1,,,3.0,北理自动化毕业设计开题报告LaTeX模板.,,5,False,3,,,,,,
24,针对参加龙芯杯的若干建议,https://github.com/Silverster98/bit_nscscc_suggestion,Silverster98/bit_nscscc_suggestion,exp,,https://github.com/Silverster98/bit_nscscc_suggestion,,2019-08-30 01:43:56,2020-10-24 09:21:50,2020-10-24 09:21:50,15.0,,9.0,5.0,1.0,,,77.0,,,,,,为了更好地帮助后来的同学参加龙芯杯，草拟了这份建议，望对后来人有所帮助.,2.0,4,False,3,,,,,,
25,LaTeX-materials,https://github.com/BIT-thesis/LaTeX-materials,BIT-thesis/LaTeX-materials,learning,['latex'],https://github.com/BIT-thesis/LaTeX-materials,,2017-09-12 03:56:00,2017-09-13 03:40:46,2017-09-13 03:23:53,2.0,,18.0,4.0,,,,55.0,,,,,,LaTeX 学习资料 （for BIT-Thesis）.,,4,False,3,,,,,,
26,BIT-enhanced,https://ydx-2147483647.github.io/BIT-enhanced/,YDX-2147483647/BIT-enhanced,tool,['Web'],https://github.com/YDX-2147483647/BIT-enhanced,GPL-3.0,2021-01-19 12:34:37,2023-04-15 02:36:01,2023-04-15 02:35:42,162.0,4.0,,1.0,1.0,,2.0,4.0,,,,,,一些方便大家使用 BIT 相关网站的用户脚本和用户样式表。.,2.0,4,True,3,,,,,,
